TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,CHAMPION
Brooklyn Nets,12,5,7,0.417,48,95.5,34.8,75.1,46.3,7.8,22.7,34.2,18.3,24.8,73.7,10,27.8,37.8,18.3,12.3,6.9,2.8,4,22.3,22.6,-1.3,2014,0
Houston Rockets,6,2,4,0.333,50.5,112,40.8,91.7,44.5,8.2,25.7,31.8,22.2,29.8,74.3,16.7,32.5,49.2,18.3,13.8,6,5,9.2,26,24.8,0.3,2014,0
Chicago Bulls,5,1,4,0.2,49,90,33.2,78.6,42.2,6.4,19.2,33.3,17.2,22.8,75.4,12.2,29.6,41.8,20.2,13.2,5,4.4,6.6,22,22.2,-4.6,2014,0
Charlotte Bobcats,4,0,4,0,48,92,33.8,75.3,44.9,7.8,21.3,36.5,16.8,23.5,71.3,8.3,31.5,39.8,19.8,15,4.3,4.5,4.5,20.3,19.8,-9.8,2014,0
San Antonio Spurs,21,15,6,0.714,49.4,100.3,38,82.2,46.3,7.9,20.8,37.8,16.4,21.5,76.3,9.7,32.9,42.6,21.9,12.9,7.9,5,4.7,19.1,21.1,7,2013,0
Miami Heat,23,16,7,0.696,48.4,97.1,35.8,76.6,46.8,7.7,20.2,38.1,17.8,23.2,76.6,9.7,28.4,38.1,20.6,13.1,8.3,5.4,3.4,22.2,21,6.4,2013,1
Indiana Pacers,19,11,8,0.579,48.3,91.8,32.2,74.4,43.3,6.3,19.2,32.7,21.1,28.5,74,12.7,32.9,45.6,17.5,16.4,5.4,4.5,4.7,22.4,24.8,0.2,2013,0
Memphis Grizzlies,15,8,7,0.533,49,94.7,34.1,81.5,41.8,4.8,14.8,32.4,21.7,29.1,74.8,11.7,30,41.7,19.3,10.7,7.3,4.6,6.5,22.1,25.3,0.6,2013,0
Golden State Warriors,12,6,6,0.5,49.3,102.7,39,84.4,46.2,8.7,22.3,38.8,16,21.8,73.6,11.5,34.6,46.1,21.7,16.5,6.4,4.9,3.5,23.8,21.9,0.2,2013,0
New York Knicks,12,6,6,0.5,48.4,88.6,33.3,81,41,8,23.3,34.3,14.1,18,78.2,10.7,28.8,39.5,15.1,11.6,8.8,4.3,4.2,23.8,18.9,2.7,2013,0
Oklahoma City Thunder,11,5,6,0.455,48.5,98.5,34.8,81.6,42.7,8.6,24.7,34.9,20.2,24.1,83.8,9.8,33.1,42.9,18.1,13.6,6,7,4.9,24.9,22.1,1.4,2013,0
Brooklyn Nets,7,3,4,0.429,50.1,99.4,37,83.7,44.2,6.1,19.4,31.6,19.3,25.4,75.8,11.7,30.4,42.1,19.9,11.6,6.3,5.6,5.7,19.9,21.7,2,2013,0
Chicago Bulls,12,5,7,0.417,49.3,91.9,35,79.9,43.8,5.4,17,31.9,16.5,22.9,72,11.8,29,40.8,19.5,14.3,6.4,4.6,5.8,22.4,21.2,-6.7,2013,0
Atlanta Hawks,6,2,4,0.333,48,89.3,32.7,77.3,42.2,6.2,18.7,33,17.8,26.2,68.2,8.3,30,38.3,19.2,12.2,7.3,3.8,4.8,24.2,23.8,-5.2,2013,0
Houston Rockets,6,2,4,0.333,48,100,34.3,81,42.4,11.7,33.7,34.7,19.7,27.7,71.1,10.8,32.7,43.5,18,15.8,5.8,5.5,7.3,23.2,24.7,-5.8,2013,0
Denver Nuggets,6,2,4,0.333,48,103,37.2,84.8,43.8,7,22.5,31.1,21.7,29.7,73,11.8,26.8,38.7,21.2,14.5,9,2.8,6.7,23.2,23.5,-4.2,2013,0
Boston Celtics,6,2,4,0.333,48.8,82.3,28.5,69,41.3,6.8,20.7,33.1,18.5,21.5,86,5.2,33.8,39,16.8,17.3,5.5,3,4.3,18.8,21.3,-5.3,2013,0
Los Angeles Clippers,6,2,4,0.333,48,94.7,35.2,75.3,46.7,5.8,19.2,30.4,18.5,23.7,78.2,8.8,28.3,37.2,18,13.3,5.2,5.7,4.2,27.8,23.8,-5.5,2013,0
Milwaukee Bucks,4,0,4,0,48,85.3,33.3,76.8,43.3,6,23,26.1,12.8,20.3,63,8.8,26,34.8,19.8,16.3,10,2.5,4.3,19.8,20.3,-14.8,2013,0
Los Angeles Lakers,4,0,4,0,48,85.3,34.5,78,44.2,5,18.5,27,11.3,18.5,60.8,8.5,31.5,40,18.5,16.5,5.8,5.3,5,17.5,18,-18.8,2013,0
San Antonio Spurs,14,10,4,0.714,48,102,37.9,78.9,48.1,9.4,22.6,41.6,16.7,22.9,73.1,8.6,32,40.6,22.9,14.3,6.5,4.6,7,20.4,20.9,5.9,2012,0
Miami Heat,23,16,7,0.696,48.4,97.3,35,76,46,6.8,19.7,34.7,20.6,27.7,74.4,10.2,30.3,40.4,17.5,13,7.3,5,3.8,20.6,23.9,7.1,2012,1
Oklahoma City Thunder,20,13,7,0.65,48,101.3,37.2,80,46.5,6.8,19.2,35.5,20.1,24.5,82,9.3,30.5,39.8,18,11.6,8.7,6.9,4.1,22.4,20.9,4,2012,0
Boston Celtics,20,11,9,0.55,48.8,89.5,33.8,77.2,43.8,4.7,16.3,28.5,17.3,21.6,79.9,8,31.9,39.9,19.8,13,8.2,4.9,4.4,21.7,19.8,1,2012,0
Indiana Pacers,11,6,5,0.545,48.5,90.9,33.7,79.5,42.4,5.7,17.9,32,17.7,23,77.1,12.4,31.6,44,16.3,15.1,6.9,5.5,5.5,22,20.4,1.4,2012,0
Philadelphia 76ers,13,7,6,0.538,48,85.7,32.1,78.1,41.1,4,13.2,30.4,17.5,24.4,71.9,10.8,31,41.8,18.2,11.5,7.6,5.3,6,18.7,21,-1.2,2012,0
